№	Категория	Производитель	Наименование	Характеристика	Штрих код																																																																																																																					
244	Подушки	Торговый дом ДАРГЕЗ	"Подушка высокая ""РИО"""		4 606 888 007 900																																																																																																																					
245	Полотенца хлопчатобумажные махровые	АШАН	Полотенце махровое Каждый день		4 690 363 015 023																																																																																																																					
246	Полотенца хлопчатобумажные махровые	Донецкая Мануфактура М	Полотенце махровое ДМ-Люкс		4 605 865 830 357																																																																																																																					
247	Постельное белье 	Шуйские Ситцы	"комплект постельного белья коллекция Экодом Home Textile 1,5 
спальный торговой марки «Экодом», артикул: с2279шв"		4 607 125 317 776																																																																																																																					
248	Футболки. Мальчики	Инициатива	Футболка Nino Mio		5 733 230 740 129																																																																																																																					
249	Футболки. Мальчики	Лаки Чайлд	Футболка детская Lucky Child		2 000 000 918 174																																																																																																																					
250	Биойогурт с клубникой с массовой долей жира 2,5%	"АО ""Лактис"""	"""Снежок"""		4 600 765 025 483																																																																																																																					
251	Средство для стирки детского белья порошкообразный 	"АО ""Невская косметика"""	"""Ушастый нянь"""		4 600 697 010 120																																																																																																																					
252	Майонез Провансаль	"АО ""Самарский жиркомбинат"""	"тм ""Ряба"""		4600528347821, 4600528347821, 4600528340204, 46005283																																																																																																																					
253	Масло подсолнечное рафинированное дезодорированное вымороженное высший сорт 	"ООО ""Компания Благо"""	Подворье	"0,83 л. Масса нетто: 764 г.
0,9 л. Масса нетто: 828 г.
1,8 л. Масса нетто : 1656 г."	"4607014784320
4607014782449
4607014785143"																																																																																																																					
254	Ромашка напиток чайный в фильтр-пакетах для разовой заварки 	ООО Милфорд	тм Милфорд	фильтр-пакеты 20х15 г. Вес 30 г	4 008 102 003 796																																																																																																																					
255	Минтай филе (кусочки мяса порционное, полуфабрикат замороженный, категория А)	"ООО ""Полар Сифу Раша"""	Полар Сифу Раша		4 670 012 690 344																																																																																																																					
256	Масло подсолнечное нерафинированное первого сорта	"ООО ""Компания Благо"""	Дары Кубани	0,65 л масса нетто:598г	4 607 014 782 036																																																																																																																					
257	"Одеяло стаганное всесезонное коллекция ""Бамбук"""	Ол-Текс	OL-TEX	"ОБТ-11-3
ОБТ-11-3
ОБТ-15-3
ОБТ-15-3
ОБТ-16-3
ОБТ-16-3
ОБТ-18-3
ОБТ-18-3
ОБТ-20-3
ОБТ-20-3
ОБТ-22-3
ОБТ-22-3"	"4607168737531
4670013443048
4607168737548
4670013443055
4607168737555
4607168736244
4607168737562
4670013443062
4630019063633
4630019063626
4607168737579
4670013443079"																																																																																																																					
258	"Ромашки аптечной цветки ""Фармацвет"""	"АО ""Красногорские лекарственные средства"" (АО ""Красногорсклексредства"""	Фармацвет	1,5 г	4 601 498 006 824																																																																																																																					
259	Сматана с массовой долей жира 20% 	"АО ""Лактис"""	Снежок		4 600 765 024 073																																																																																																																					
260	Майонез Оливковый ORGANIK c массовой долей жира 67%	"АО ""НЭФИС-БИОПРОДУКТ"""	тм Mr. Ricco	"дой-пак 220 мл
400 мл
800 мл"	"4604075031943
4604075031967
4604075031981"																																																																																																																					
261	Майонез оливковый с массовой долей жира 67%	"АО ""НЭФИС-БИОПРОДУКТ"""	Миладора	дой-пак 800 мл	4 604 075 030 779																																																																																																																					
262	"Крупа гречневая ядрица быстроразваривающаяся ""Экстра"""	АО Алтайская крупа	тм Гудвилл		4 607 120 232 555																																																																																																																					
263	"Мука пшеничная хлебопекарная высшего сорта ""Экстра"""	"АО ""Мелькомбинат №3"""	Экстра		4 602 991 000 029																																																																																																																					
264	Средство для стирки детского белья	"АО ""Невская Косметика"""	"Средство для стирки детского белья порошкообразное ""Ушастый нянь"""	"350 г
400 г
800 г
2,4 кг
4,5 кг
6 кг
9 кг"	"4600697012886
4600697010113
4600697010120
4600697010137
4600697010144
4600697010151
4600697010168"																																																																																																																					
265	"Кетчуп ""Томатный"" Pomodoro Speciale MR.Ricco высшая категория"	АО Нэфис-Биопродукт	Mr. Ricco	ПЭТ-бутылка 570	4 604 075 019 224																																																																																																																					
266	Кетчуп Для гриля и шашлыка Pomodoro Speciale Mr.Ricco высшая категория	АО Нэфис-Биопродукт	Pomodoro Speciale Mr.Ricco	"ПЭТ-бутылка 570
дой-пак 350"	"4604075019255
4604075024495"																																																																																																																					
267	Майонез Провансаль ORGANIC Mr.Ricco массловая доля жира 67%	АО Нэфис-Биопродукт	ORGANIC Mr.Ricco	ПЭТ-банка 450 мл	4 604 075 032 025																																																																																																																					
268	Майонез Провансаль оливковый 	НМЖК	Ряба 67%	"ДПД 233 г
ДПД 400 г
ДПД 744 г
Ведро 837 г
ДПД 233 г
ДПД 372 г
ДПД 744 г
Ведро 837 г"	"4600528340204
4600528347258
4600528347661
4600528345629
4600528340310
4600528347265
4600528347685
4600528345636"																																																																																																																					
